ID	Target	Tweet	Veracity
0	BostonBombings	"R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/jI0F4ly0lh"""	RUMOR
1	BostonBombings	One of the dead was a little boy who'd just run out to hug his dad, who'd just finished the marathon. His mom lost her legs. #boston	RUMOR
2	BostonBombings	A 5 year old boy dies waiting to see his dad finish the marathon - just awful!! #Boston	NON-RUMOR
3	BostonBombings	R.I.P. to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/ZmTdHzbZ1E	RUMOR
4	BostonBombings	Family Guy: Boston Marathon Bombing http://t.co/LZ3ShBD4Du	NON-RUMOR
5	BostonBombings	THE WESTBORO BAPTIST CHURCH IS PLANNING TO PICKET THE FUNERALS OF THOSE THAT DIED IN THE BOSTON BOMBING YOU'RE A PIECE OF SHIT	NON-RUMOR
6	BostonBombings	Westboro Baptist Church picketing the funerals of the Boston victims, saying God sent the bombs as revenge against gay marriage. Im furious.	NON-RUMOR
7	BostonBombings	The 8 year old boy who tragically lost his life in Boston yesterday has been named as Martin Richard, who was there to watch his dad run.	RUMOR
8	BostonBombings	An 8 year old boy died today at the hospital due to the Boston explosions. The boy was waiting for his dad to finish the marathon.	RUMOR
9	BostonBombings	"Little girl who died in Boston's explosions, while running for Sandy Hook kids #PrayForBoston http://t.co/yNBuXjWACJ"""	RUMOR
10	BostonBombings	The little 8 year old boy who died was waiting for his dad at the finish line omg :'(( #prayforboston	NON-RUMOR
11	BostonBombings	The 8yo boy killed in the Boston bomb blasts was waiting for his dad to finish the marathon. His mum &amp; sister are critical. #NewsRoom	RUMOR
12	BostonBombings	R.I.P. to the 8 yearold girl who died in Boston's explosions, while running for the Sandy Hook kids. #prayforboston http://t.co/0Qr6Jyk5BJ	RUMOR
13	BostonBombings	BOSTON BOMBINGS: boy who was killed hugged his father who just finished the race then rejoined his mom on the sidewalk. then the explosion.	RUMOR
14	BostonBombings	#R.I.P to the 8 year-old girl who died in Boston's explosions, while running for the Sandy Hook kids #prayforboston http://t.co/yPyNkvuF1q	RUMOR
